Prior mean:
( 0.0 , 0.0 )
( 0.522088353414 , 0.0 )
( 0.526104417671 , 0.0 )
( 0.530120481928 , 0.0 )
( 0.534136546185 , 0.0 )
( 0.538152610442 , 0.0 )
( 0.542168674699 , 0.0 )
( 0.546184738956 , 0.0 )
( 0.550200803213 , 0.0 )
( 0.55421686747 , 0.0 )
( 0.558232931727 , 0.0 )
( 0.562248995984 , 0.0 )
( 0.566265060241 , 0.0 )
( 0.570281124498 , 0.0 )
( 0.574297188755 , 0.0 )
( 0.578313253012 , 0.0 )
( 0.582329317269 , 0.0 )
( 0.586345381526 , 0.0 )
( 0.590361445783 , 0.0 )
( 0.59437751004 , 0.0 )
( 0.598393574297 , 0.0 )
( 0.602409638554 , 0.0 )
( 0.606425702811 , 0.0 )
( 0.610441767068 , 0.0 )
( 0.614457831325 , 0.0 )
( 0.618473895582 , 0.0 )
( 0.622489959839 , 0.0 )
( 0.626506024096 , 0.0 )
( 0.630522088353 , 0.0 )
( 0.63453815261 , 0.0 )
( 0.638554216867 , 0.0 )
( 0.642570281124 , 0.0 )
( 0.646586345382 , 0.0 )
( 0.650602409639 , 0.0 )
( 0.654618473896 , 0.0 )
( 0.658634538153 , 0.0 )
( 0.66265060241 , 0.0 )
( 0.666666666667 , 0.0 )
( 0.670682730924 , 0.0 )
( 0.674698795181 , 0.0 )
( 0.678714859438 , 0.0 )
( 0.682730923695 , 0.0 )
( 0.686746987952 , 0.0 )
( 0.690763052209 , 0.0 )
( 0.694779116466 , 0.0 )
( 0.698795180723 , 0.0 )
( 0.70281124498 , 0.0 )
( 0.706827309237 , 0.0 )
( 0.710843373494 , 0.0 )
( 0.714859437751 , 0.0 )
( 0.718875502008 , 0.0 )
( 0.722891566265 , 0.0 )
( 0.726907630522 , 0.0 )
( 0.730923694779 , 0.0 )
( 0.734939759036 , 0.0 )
( 0.738955823293 , 0.0 )
( 0.74297188755 , 0.0 )
( 0.746987951807 , 0.0 )
( 0.751004016064 , 0.0 )
( 0.755020080321 , 0.0 )
( 0.759036144578 , 0.0 )
( 0.763052208835 , 0.0 )
( 0.767068273092 , 0.0 )
( 0.771084337349 , 0.0 )
( 0.775100401606 , 0.0 )
( 0.779116465863 , 0.0 )
( 0.78313253012 , 0.0 )
( 0.787148594378 , 0.0 )
( 0.791164658635 , 0.0 )
( 0.795180722892 , 0.0 )
( 0.799196787149 , 0.0 )
( 0.803212851406 , 0.0 )
( 0.807228915663 , 0.0 )
( 0.81124497992 , 0.0 )
( 0.815261044177 , 0.0 )
( 0.819277108434 , 0.0 )
( 0.823293172691 , 0.0 )
( 0.827309236948 , 0.0 )
( 0.831325301205 , 0.0 )
( 0.835341365462 , 0.0 )
( 0.839357429719 , 0.0 )
( 0.843373493976 , 0.0 )
( 0.847389558233 , 0.0 )
( 0.85140562249 , 0.0 )
( 0.855421686747 , 0.0 )
( 0.859437751004 , 0.0 )
( 0.863453815261 , 0.0 )
( 0.867469879518 , 0.0 )
( 0.871485943775 , 0.0 )
( 0.875502008032 , 0.0 )
( 0.879518072289 , 0.0 )
( 0.883534136546 , 0.0 )
( 0.887550200803 , 0.0 )
( 0.89156626506 , 0.0 )
( 0.895582329317 , 0.0 )
( 0.899598393574 , 0.0 )
( 0.903614457831 , 0.0 )
( 0.907630522088 , 0.0 )
( 0.911646586345 , 0.0 )
( 0.915662650602 , 0.0 )
( 0.919678714859 , 0.0 )
( 0.923694779116 , 0.0 )
( 0.927710843373 , 0.0 )
( 0.931726907631 , 0.0 )
( 0.935742971888 , 0.0 )
( 0.939759036145 , 0.0 )
( 0.943775100402 , 0.0 )
( 0.947791164659 , 0.0 )
( 0.951807228916 , 0.0 )
( 0.955823293173 , 0.0 )
( 0.95983935743 , 0.0 )
( 0.963855421687 , 0.0 )
( 0.967871485944 , 0.0 )
( 0.971887550201 , 0.0 )
( 0.975903614458 , 0.0 )
( 0.979919678715 , 0.0 )
( 0.983935742972 , 0.0 )
( 0.987951807229 , 0.0 )
( 0.991967871486 , 0.0 )
( 0.995983935743 , 0.0 )
( 1.0 , 0.0 )

Prior Pos Dev:
( 0.0 , 6.0 )
( 0.00401606425703 , 6.0 )
( 0.00803212851406 , 6.0 )
( 0.0120481927711 , 6.0 )
( 0.0160642570281 , 6.0 )
( 0.0200803212851 , 6.0 )
( 0.0240963855422 , 6.0 )
( 0.0281124497992 , 6.0 )
( 0.0321285140562 , 6.0 )
( 0.0361445783133 , 6.0 )
( 0.0401606425703 , 6.0 )
( 0.0441767068273 , 6.0 )
( 0.0481927710843 , 6.0 )
( 0.0522088353414 , 6.0 )
( 0.0562248995984 , 6.0 )
( 0.0602409638554 , 6.0 )
( 0.0642570281124 , 6.0 )
( 0.0682730923695 , 6.0 )
( 0.0722891566265 , 6.0 )
( 0.0763052208835 , 6.0 )
( 0.0803212851406 , 6.0 )
( 0.0843373493976 , 6.0 )
( 0.0883534136546 , 6.0 )
( 0.0923694779116 , 6.0 )
( 0.0963855421687 , 6.0 )
( 0.100401606426 , 6.0 )
( 0.104417670683 , 6.0 )
( 0.10843373494 , 6.0 )
( 0.112449799197 , 6.0 )
( 0.116465863454 , 6.0 )
( 0.120481927711 , 6.0 )
( 0.124497991968 , 6.0 )
( 0.128514056225 , 6.0 )
( 0.132530120482 , 6.0 )
( 0.136546184739 , 6.0 )
( 0.140562248996 , 6.0 )
( 0.144578313253 , 6.0 )
( 0.14859437751 , 6.0 )
( 0.152610441767 , 6.0 )
( 0.156626506024 , 6.0 )
( 0.160642570281 , 6.0 )
( 0.164658634538 , 6.0 )
( 0.168674698795 , 6.0 )
( 0.172690763052 , 6.0 )
( 0.176706827309 , 6.0 )
( 0.180722891566 , 6.0 )
( 0.184738955823 , 6.0 )
( 0.18875502008 , 6.0 )
( 0.192771084337 , 6.0 )
( 0.196787148594 , 6.0 )
( 0.200803212851 , 6.0 )
( 0.204819277108 , 6.0 )
( 0.208835341365 , 6.0 )
( 0.212851405622 , 6.0 )
( 0.21686746988 , 6.0 )
( 0.220883534137 , 6.0 )
( 0.224899598394 , 6.0 )
( 0.228915662651 , 6.0 )
( 0.232931726908 , 6.0 )
( 0.236947791165 , 6.0 )
( 0.240963855422 , 6.0 )
( 0.244979919679 , 6.0 )
( 0.248995983936 , 6.0 )
( 0.253012048193 , 6.0 )
( 0.25702811245 , 6.0 )
( 0.261044176707 , 6.0 )
( 0.265060240964 , 6.0 )
( 0.269076305221 , 6.0 )
( 0.273092369478 , 6.0 )
( 0.277108433735 , 6.0 )
( 0.281124497992 , 6.0 )
( 0.285140562249 , 6.0 )
( 0.289156626506 , 6.0 )
( 0.293172690763 , 6.0 )
( 0.29718875502 , 6.0 )
( 0.301204819277 , 6.0 )
( 0.305220883534 , 6.0 )
( 0.309236947791 , 6.0 )
( 0.313253012048 , 6.0 )
( 0.317269076305 , 6.0 )
( 0.321285140562 , 6.0 )
( 0.325301204819 , 6.0 )
( 0.329317269076 , 6.0 )
( 0.333333333333 , 6.0 )
( 0.33734939759 , 6.0 )
( 0.341365461847 , 6.0 )
( 0.345381526104 , 6.0 )
( 0.349397590361 , 6.0 )
( 0.353413654618 , 6.0 )
( 0.357429718876 , 6.0 )
( 0.361445783133 , 6.0 )
( 0.36546184739 , 6.0 )
( 0.369477911647 , 6.0 )
( 0.373493975904 , 6.0 )
( 0.377510040161 , 6.0 )
( 0.381526104418 , 6.0 )
( 0.385542168675 , 6.0 )
( 0.389558232932 , 6.0 )
( 0.393574297189 , 6.0 )
( 0.397590361446 , 6.0 )
( 0.401606425703 , 6.0 )
( 0.40562248996 , 6.0 )
( 0.409638554217 , 6.0 )
( 0.413654618474 , 6.0 )
( 0.417670682731 , 6.0 )
( 0.421686746988 , 6.0 )
( 0.425702811245 , 6.0 )
( 0.429718875502 , 6.0 )
( 0.433734939759 , 6.0 )
( 0.437751004016 , 6.0 )
( 0.441767068273 , 6.0 )
( 0.44578313253 , 6.0 )
( 0.449799196787 , 6.0 )
( 0.453815261044 , 6.0 )
( 0.457831325301 , 6.0 )
( 0.461847389558 , 6.0 )
( 0.465863453815 , 6.0 )
( 0.469879518072 , 6.0 )
( 0.473895582329 , 6.0 )
( 0.477911646586 , 6.0 )
( 0.481927710843 , 6.0 )
( 0.4859437751 , 6.0 )
( 0.489959839357 , 6.0 )
( 0.493975903614 , 6.0 )
( 0.497991967871 , 6.0 )
( 0.502008032129 , 6.0 )
( 0.506024096386 , 6.0 )
( 0.510040160643 , 6.0 )
( 0.5140562249 , 6.0 )
( 0.518072289157 , 6.0 )
( 0.522088353414 , 6.0 )
( 0.526104417671 , 6.0 )
( 0.530120481928 , 6.0 )
( 0.534136546185 , 6.0 )
( 0.538152610442 , 6.0 )
( 0.542168674699 , 6.0 )
( 0.546184738956 , 6.0 )
( 0.550200803213 , 6.0 )
( 0.55421686747 , 6.0 )
( 0.558232931727 , 6.0 )
( 0.562248995984 , 6.0 )
( 0.566265060241 , 6.0 )
( 0.570281124498 , 6.0 )
( 0.574297188755 , 6.0 )
( 0.578313253012 , 6.0 )
( 0.582329317269 , 6.0 )
( 0.586345381526 , 6.0 )
( 0.590361445783 , 6.0 )
( 0.59437751004 , 6.0 )
( 0.598393574297 , 6.0 )
( 0.602409638554 , 6.0 )
( 0.606425702811 , 6.0 )
( 0.610441767068 , 6.0 )
( 0.614457831325 , 6.0 )
( 0.618473895582 , 6.0 )
( 0.622489959839 , 6.0 )
( 0.626506024096 , 6.0 )
( 0.630522088353 , 6.0 )
( 0.63453815261 , 6.0 )
( 0.638554216867 , 6.0 )
( 0.642570281124 , 6.0 )
( 0.646586345382 , 6.0 )
( 0.650602409639 , 6.0 )
( 0.654618473896 , 6.0 )
( 0.658634538153 , 6.0 )
( 0.66265060241 , 6.0 )
( 0.666666666667 , 6.0 )
( 0.670682730924 , 6.0 )
( 0.674698795181 , 6.0 )
( 0.678714859438 , 6.0 )
( 0.682730923695 , 6.0 )
( 0.686746987952 , 6.0 )
( 0.690763052209 , 6.0 )
( 0.694779116466 , 6.0 )
( 0.698795180723 , 6.0 )
( 0.70281124498 , 6.0 )
( 0.706827309237 , 6.0 )
( 0.710843373494 , 6.0 )
( 0.714859437751 , 6.0 )
( 0.718875502008 , 6.0 )
( 0.722891566265 , 6.0 )
( 0.726907630522 , 6.0 )
( 0.730923694779 , 6.0 )
( 0.734939759036 , 6.0 )
( 0.738955823293 , 6.0 )
( 0.74297188755 , 6.0 )
( 0.746987951807 , 6.0 )
( 0.751004016064 , 6.0 )
( 0.755020080321 , 6.0 )
( 0.759036144578 , 6.0 )
( 0.763052208835 , 6.0 )
( 0.767068273092 , 6.0 )
( 0.771084337349 , 6.0 )
( 0.775100401606 , 6.0 )
( 0.779116465863 , 6.0 )
( 0.78313253012 , 6.0 )
( 0.787148594378 , 6.0 )
( 0.791164658635 , 6.0 )
( 0.795180722892 , 6.0 )
( 0.799196787149 , 6.0 )
( 0.803212851406 , 6.0 )
( 0.807228915663 , 6.0 )
( 0.81124497992 , 6.0 )
( 0.815261044177 , 6.0 )
( 0.819277108434 , 6.0 )
( 0.823293172691 , 6.0 )
( 0.827309236948 , 6.0 )
( 0.831325301205 , 6.0 )
( 0.835341365462 , 6.0 )
( 0.839357429719 , 6.0 )
( 0.843373493976 , 6.0 )
( 0.847389558233 , 6.0 )
( 0.85140562249 , 6.0 )
( 0.855421686747 , 6.0 )
( 0.859437751004 , 6.0 )
( 0.863453815261 , 6.0 )
( 0.867469879518 , 6.0 )
( 0.871485943775 , 6.0 )
( 0.875502008032 , 6.0 )
( 0.879518072289 , 6.0 )
( 0.883534136546 , 6.0 )
( 0.887550200803 , 6.0 )
( 0.89156626506 , 6.0 )
( 0.895582329317 , 6.0 )
( 0.899598393574 , 6.0 )
( 0.903614457831 , 6.0 )
( 0.907630522088 , 6.0 )
( 0.911646586345 , 6.0 )
( 0.915662650602 , 6.0 )
( 0.919678714859 , 6.0 )
( 0.923694779116 , 6.0 )
( 0.927710843373 , 6.0 )
( 0.931726907631 , 6.0 )
( 0.935742971888 , 6.0 )
( 0.939759036145 , 6.0 )
( 0.943775100402 , 6.0 )
( 0.947791164659 , 6.0 )
( 0.951807228916 , 6.0 )
( 0.955823293173 , 6.0 )
( 0.95983935743 , 6.0 )
( 0.963855421687 , 6.0 )
( 0.967871485944 , 6.0 )
( 0.971887550201 , 6.0 )
( 0.975903614458 , 6.0 )
( 0.979919678715 , 6.0 )
( 0.983935742972 , 6.0 )
( 0.987951807229 , 6.0 )
( 0.991967871486 , 6.0 )
( 0.995983935743 , 6.0 )
( 1.0 , 6.0 )

Prior Neg Dev:
( 0.0 , -6.0 )
( 0.00401606425703 , -6.0 )
( 0.00803212851406 , -6.0 )
( 0.0120481927711 , -6.0 )
( 0.0160642570281 , -6.0 )
( 0.0200803212851 , -6.0 )
( 0.0240963855422 , -6.0 )
( 0.0281124497992 , -6.0 )
( 0.0321285140562 , -6.0 )
( 0.0361445783133 , -6.0 )
( 0.0401606425703 , -6.0 )
( 0.0441767068273 , -6.0 )
( 0.0481927710843 , -6.0 )
( 0.0522088353414 , -6.0 )
( 0.0562248995984 , -6.0 )
( 0.0602409638554 , -6.0 )
( 0.0642570281124 , -6.0 )
( 0.0682730923695 , -6.0 )
( 0.0722891566265 , -6.0 )
( 0.0763052208835 , -6.0 )
( 0.0803212851406 , -6.0 )
( 0.0843373493976 , -6.0 )
( 0.0883534136546 , -6.0 )
( 0.0923694779116 , -6.0 )
( 0.0963855421687 , -6.0 )
( 0.100401606426 , -6.0 )
( 0.104417670683 , -6.0 )
( 0.10843373494 , -6.0 )
( 0.112449799197 , -6.0 )
( 0.116465863454 , -6.0 )
( 0.120481927711 , -6.0 )
( 0.124497991968 , -6.0 )
( 0.128514056225 , -6.0 )
( 0.132530120482 , -6.0 )
( 0.136546184739 , -6.0 )
( 0.140562248996 , -6.0 )
( 0.144578313253 , -6.0 )
( 0.14859437751 , -6.0 )
( 0.152610441767 , -6.0 )
( 0.156626506024 , -6.0 )
( 0.160642570281 , -6.0 )
( 0.164658634538 , -6.0 )
( 0.168674698795 , -6.0 )
( 0.172690763052 , -6.0 )
( 0.176706827309 , -6.0 )
( 0.180722891566 , -6.0 )
( 0.184738955823 , -6.0 )
( 0.18875502008 , -6.0 )
( 0.192771084337 , -6.0 )
( 0.196787148594 , -6.0 )
( 0.200803212851 , -6.0 )
( 0.204819277108 , -6.0 )
( 0.208835341365 , -6.0 )
( 0.212851405622 , -6.0 )
( 0.21686746988 , -6.0 )
( 0.220883534137 , -6.0 )
( 0.224899598394 , -6.0 )
( 0.228915662651 , -6.0 )
( 0.232931726908 , -6.0 )
( 0.236947791165 , -6.0 )
( 0.240963855422 , -6.0 )
( 0.244979919679 , -6.0 )
( 0.248995983936 , -6.0 )
( 0.253012048193 , -6.0 )
( 0.25702811245 , -6.0 )
( 0.261044176707 , -6.0 )
( 0.265060240964 , -6.0 )
( 0.269076305221 , -6.0 )
( 0.273092369478 , -6.0 )
( 0.277108433735 , -6.0 )
( 0.281124497992 , -6.0 )
( 0.285140562249 , -6.0 )
( 0.289156626506 , -6.0 )
( 0.293172690763 , -6.0 )
( 0.29718875502 , -6.0 )
( 0.301204819277 , -6.0 )
( 0.305220883534 , -6.0 )
( 0.309236947791 , -6.0 )
( 0.313253012048 , -6.0 )
( 0.317269076305 , -6.0 )
( 0.321285140562 , -6.0 )
( 0.325301204819 , -6.0 )
( 0.329317269076 , -6.0 )
( 0.333333333333 , -6.0 )
( 0.33734939759 , -6.0 )
( 0.341365461847 , -6.0 )
( 0.345381526104 , -6.0 )
( 0.349397590361 , -6.0 )
( 0.353413654618 , -6.0 )
( 0.357429718876 , -6.0 )
( 0.361445783133 , -6.0 )
( 0.36546184739 , -6.0 )
( 0.369477911647 , -6.0 )
( 0.373493975904 , -6.0 )
( 0.377510040161 , -6.0 )
( 0.381526104418 , -6.0 )
( 0.385542168675 , -6.0 )
( 0.389558232932 , -6.0 )
( 0.393574297189 , -6.0 )
( 0.397590361446 , -6.0 )
( 0.401606425703 , -6.0 )
( 0.40562248996 , -6.0 )
( 0.409638554217 , -6.0 )
( 0.413654618474 , -6.0 )
( 0.417670682731 , -6.0 )
( 0.421686746988 , -6.0 )
( 0.425702811245 , -6.0 )
( 0.429718875502 , -6.0 )
( 0.433734939759 , -6.0 )
( 0.437751004016 , -6.0 )
( 0.441767068273 , -6.0 )
( 0.44578313253 , -6.0 )
( 0.449799196787 , -6.0 )
( 0.453815261044 , -6.0 )
( 0.457831325301 , -6.0 )
( 0.461847389558 , -6.0 )
( 0.465863453815 , -6.0 )
( 0.469879518072 , -6.0 )
( 0.473895582329 , -6.0 )
( 0.477911646586 , -6.0 )
( 0.481927710843 , -6.0 )
( 0.4859437751 , -6.0 )
( 0.489959839357 , -6.0 )
( 0.493975903614 , -6.0 )
( 0.497991967871 , -6.0 )
( 0.502008032129 , -6.0 )
( 0.506024096386 , -6.0 )
( 0.510040160643 , -6.0 )
( 0.5140562249 , -6.0 )
( 0.518072289157 , -6.0 )
( 0.522088353414 , -6.0 )
( 0.526104417671 , -6.0 )
( 0.530120481928 , -6.0 )
( 0.534136546185 , -6.0 )
( 0.538152610442 , -6.0 )
( 0.542168674699 , -6.0 )
( 0.546184738956 , -6.0 )
( 0.550200803213 , -6.0 )
( 0.55421686747 , -6.0 )
( 0.558232931727 , -6.0 )
( 0.562248995984 , -6.0 )
( 0.566265060241 , -6.0 )
( 0.570281124498 , -6.0 )
( 0.574297188755 , -6.0 )
( 0.578313253012 , -6.0 )
( 0.582329317269 , -6.0 )
( 0.586345381526 , -6.0 )
( 0.590361445783 , -6.0 )
( 0.59437751004 , -6.0 )
( 0.598393574297 , -6.0 )
( 0.602409638554 , -6.0 )
( 0.606425702811 , -6.0 )
( 0.610441767068 , -6.0 )
( 0.614457831325 , -6.0 )
( 0.618473895582 , -6.0 )
( 0.622489959839 , -6.0 )
( 0.626506024096 , -6.0 )
( 0.630522088353 , -6.0 )
( 0.63453815261 , -6.0 )
( 0.638554216867 , -6.0 )
( 0.642570281124 , -6.0 )
( 0.646586345382 , -6.0 )
( 0.650602409639 , -6.0 )
( 0.654618473896 , -6.0 )
( 0.658634538153 , -6.0 )
( 0.66265060241 , -6.0 )
( 0.666666666667 , -6.0 )
( 0.670682730924 , -6.0 )
( 0.674698795181 , -6.0 )
( 0.678714859438 , -6.0 )
( 0.682730923695 , -6.0 )
( 0.686746987952 , -6.0 )
( 0.690763052209 , -6.0 )
( 0.694779116466 , -6.0 )
( 0.698795180723 , -6.0 )
( 0.70281124498 , -6.0 )
( 0.706827309237 , -6.0 )
( 0.710843373494 , -6.0 )
( 0.714859437751 , -6.0 )
( 0.718875502008 , -6.0 )
( 0.722891566265 , -6.0 )
( 0.726907630522 , -6.0 )
( 0.730923694779 , -6.0 )
( 0.734939759036 , -6.0 )
( 0.738955823293 , -6.0 )
( 0.74297188755 , -6.0 )
( 0.746987951807 , -6.0 )
( 0.751004016064 , -6.0 )
( 0.755020080321 , -6.0 )
( 0.759036144578 , -6.0 )
( 0.763052208835 , -6.0 )
( 0.767068273092 , -6.0 )
( 0.771084337349 , -6.0 )
( 0.775100401606 , -6.0 )
( 0.779116465863 , -6.0 )
( 0.78313253012 , -6.0 )
( 0.787148594378 , -6.0 )
( 0.791164658635 , -6.0 )
( 0.795180722892 , -6.0 )
( 0.799196787149 , -6.0 )
( 0.803212851406 , -6.0 )
( 0.807228915663 , -6.0 )
( 0.81124497992 , -6.0 )
( 0.815261044177 , -6.0 )
( 0.819277108434 , -6.0 )
( 0.823293172691 , -6.0 )
( 0.827309236948 , -6.0 )
( 0.831325301205 , -6.0 )
( 0.835341365462 , -6.0 )
( 0.839357429719 , -6.0 )
( 0.843373493976 , -6.0 )
( 0.847389558233 , -6.0 )
( 0.85140562249 , -6.0 )
( 0.855421686747 , -6.0 )
( 0.859437751004 , -6.0 )
( 0.863453815261 , -6.0 )
( 0.867469879518 , -6.0 )
( 0.871485943775 , -6.0 )
( 0.875502008032 , -6.0 )
( 0.879518072289 , -6.0 )
( 0.883534136546 , -6.0 )
( 0.887550200803 , -6.0 )
( 0.89156626506 , -6.0 )
( 0.895582329317 , -6.0 )
( 0.899598393574 , -6.0 )
( 0.903614457831 , -6.0 )
( 0.907630522088 , -6.0 )
( 0.911646586345 , -6.0 )
( 0.915662650602 , -6.0 )
( 0.919678714859 , -6.0 )
( 0.923694779116 , -6.0 )
( 0.927710843373 , -6.0 )
( 0.931726907631 , -6.0 )
( 0.935742971888 , -6.0 )
( 0.939759036145 , -6.0 )
( 0.943775100402 , -6.0 )
( 0.947791164659 , -6.0 )
( 0.951807228916 , -6.0 )
( 0.955823293173 , -6.0 )
( 0.95983935743 , -6.0 )
( 0.963855421687 , -6.0 )
( 0.967871485944 , -6.0 )
( 0.971887550201 , -6.0 )
( 0.975903614458 , -6.0 )
( 0.979919678715 , -6.0 )
( 0.983935742972 , -6.0 )
( 0.987951807229 , -6.0 )
( 0.991967871486 , -6.0 )
( 0.995983935743 , -6.0 )
( 1.0 , -6.0 )

Predictive mean:
( 0.0 , 1.0126660345 )
( 0.00401606425703 , 1.00731062819 )
( 0.00803212851406 , 1.00183111603 )
( 0.0120481927711 , 0.996226126437 )
( 0.0160642570281 , 0.990496470175 )
( 0.0200803212851 , 0.984645083863 )
( 0.0240963855422 , 0.978674978772 )
( 0.0281124497992 , 0.972589152374 )
( 0.0321285140562 , 0.966390588655 )
( 0.0361445783133 , 0.960082258411 )
( 0.0401606425703 , 0.953667119556 )
( 0.0441767068273 , 0.947148117416 )
( 0.0481927710843 , 0.940528185038 )
( 0.0522088353414 , 0.93381024348 )
( 0.0562248995984 , 0.926997202116 )
( 0.0602409638554 , 0.920091958928 )
( 0.0642570281124 , 0.913097400808 )
( 0.0682730923695 , 0.906016403848 )
( 0.0722891566265 , 0.89885183364 )
( 0.0763052208835 , 0.891606545564 )
( 0.0803212851406 , 0.884283385086 )
( 0.0843373493976 , 0.876885188049 )
( 0.0883534136546 , 0.869414780963 )
( 0.0923694779116 , 0.861874981297 )
( 0.0963855421687 , 0.854268597771 )
( 0.100401606426 , 0.846598430642 )
( 0.104417670683 , 0.838867271993 )
( 0.10843373494 , 0.831077906027 )
( 0.112449799197 , 0.823233109344 )
( 0.116465863454 , 0.815335651241 )
( 0.120481927711 , 0.807388293985 )
( 0.124497991968 , 0.799393793109 )
( 0.128514056225 , 0.791354897692 )
( 0.132530120482 , 0.783274350646 )
( 0.136546184739 , 0.775154888999 )
( 0.140562248996 , 0.76699924418 )
( 0.144578313253 , 0.758810142301 )
( 0.14859437751 , 0.75059030444 )
( 0.152610441767 , 0.742342446924 )
( 0.156626506024 , 0.734069281613 )
( 0.160642570281 , 0.725773516177 )
( 0.164658634538 , 0.717457854384 )
( 0.168674698795 , 0.709124996373 )
( 0.172690763052 , 0.700777638943 )
( 0.176706827309 , 0.692418475826 )
( 0.180722891566 , 0.684050197975 )
( 0.184738955823 , 0.675675493836 )
( 0.18875502008 , 0.667297049634 )
( 0.192771084337 , 0.658917549649 )
( 0.196787148594 , 0.650539676497 )
( 0.200803212851 , 0.642166111407 )
( 0.204819277108 , 0.633799534505 )
( 0.208835341365 , 0.625442625088 )
( 0.212851405622 , 0.617098061904 )
( 0.21686746988 , 0.608768523433 )
